Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
,,Clomiphene citrate 50mg Tabets,Clomiphene,Comprimé,50mg,,
,,Cloxacillin 125mg/5ml 100ml,Cloxacillin,,125mg/5ml,,
,,Codeine/Paracetamol 50mg/600mg,Codeine + Paracetamol,Comprimé,50mg/600mg,,
,,Cornergel 10g,Cornergel,,10g,,
,,Co-Trimaxazole 200/40mg/5 Susp,Co-Trimaxazole,Suspension,200/40mg/5,,
,,Co-Trimaxazole 400+80mg Tablets,Co-Trimaxazole,Comprimé,400+80mg,,
,,CPD Podophyllin 25% per touch,CPD Podophyllin,,25%,,
,,"Cyclopentolate HCI, 1% eye drops",Cyclopentolate HCI,Gouttes pour les yeux,1%,,
,,"Cyclopentolate, 0.5% eye drops",Cyclopentolate,Gouttes pour les yeux,0.5%,,
,,Deep Relief Cream,Deep,Crème,,,
,,Depoprovera 150mg inj,Depoprovera,Injection,150mg,,
,,"Dex 5%/1/2 N.S IV, 1000ml",Dex,Injection,5%/1000ml,,
,,"Dex 5%/1/2 N.S IV, 100ml",Dex,Injection,5%/100ml,,
,,"Dex 5%/1/2 N.S IV, 250ml",Dex,Injection,5%/250ml,,
,,"Dex 5%/1/2 N.S IV, 500ml",Dex,Injection,5%/500ml,,
,,Diclofenac eye drops,Diclofenac,Gouttes pour les yeux,,,
,,Dithranolis oint. 0.1%,Dithranolis,Crème,0.1%,,
,,Doxazosin 2mg,Doxazosin,Comprimé,2mg,,
,,Doxazosin 4mg Tablets,Doxazosin,Comprimé,4mg,,
,,Doxorubicine 50mg inj,Doxorubicin,Injection,50mg,,
,,Econazole 2% eye drops 5ml,Econazole,Gouttes pour les yeux,2%/5ml,,
,,Endoxan 1gm inj,Endoxan,Injection,1gm,,
,,Ephedrine 30mg Tablet,Ephedrine,Comprimé,30mg,,
,,Ephedrine 50mg injection,Ephedrine,Injection,50mg,,
,,"Erythromycin 125mg/5ml, Oral",Erythromycin,Suspension,125mg/5ml,,
,,Etoposide 50mg inj,Etoposide,Injection,50mg,,
,,Ferrous Sulphate 200mg,Ferrous Sulphate,Comprimé,200mg,,
,,Ferrous Sulphate syr 12mg/ml,Ferrous Sulphate,Oral solution,12mg/ml,,
,,"Fluphenazine 25mg/ml inj, 1amp",Fluphenazine,Injection,25mg/ml,,
,,Folic Acid 5mg tablet,Folic Acid,Comprimé,5mg,,
,,Frakidex 5g Eye Ointment,Frakidex,Crème,5g,,
,,Framycetin Dexamethasone,Framycetin,,,,
,,Gabapentine 300mg Caps,Gabapentine,Capsule,300mg,,
,,Gentamycin + Dexamethasone,Gentamycin+Dexamethasone,,,,
,,Gliclazide 60mg Tablets,Gliclazide,Comprimé,60mg,,
,,Glimepiride 4mg Tablet,Glimepiride,Comprimé,4mg,,
,,Glycerin Oil 100ml,Glycerin,,100ml,,
,,Glycerin Supp 2g Child,Glycerin,Suppositoire,2g,,
,,Glycerin Supp 4g Adult,Glycerin,Suppositoire,4g,,
,,Haldol 1mg PO,Haldol,Comprimé,1mg,,
,,Haloperidol decanoate inj (Haldol Decanoate),Haloperidol,Injection,,,
,,"Hydralazine 20mg/2ml, 1 vial",Hydralazine,,20mg/2ml,,
,,Hydralazine 25mg Tablets,Hydralazine,Comprimé,25mg,,
,,Hydrocortisone 1% Ointophth,Hydrocortisone,Crème,1%,,
,,Hydroxycarbamide 500mg Tablets,Hydroxycarbamide,Comprimé,500mg,,
,,Hyoscine butylbromide 10mg,Hyoscine butylbromide,Comprimé,10mg,,
,,Ibuprofen 200mg Tablets,Ibuprofen,Comprimé,200mg,,
,,Indomethacin 0.1% eye drops 5ml,Indomethacin,Gouttes pour les yeux,0.1%/5ml,,
,,Ipratropium Bromide 0.02mg/dos,Ipratropium Bromide,Solution,0.02mg,,
,,Iron Dextran 100mg/2ml inject,Iron Dextran,Injection,100mg/2ml,,
,,Isosorbide dinitrate 5mg subli,Isosorbide dinitrate,Comprimé,5mg,,
,,"Ivermectin 3mg Tablet, 1 tab",Ivermectin,Comprimé,3mg,,
,,"Ketoconazole Shampoo, 100ml",Shampooing,Comprimé,100ml,,
,,Ketorolac (tromethamineopthal),Ketorolac,Solution,,,
,,"K-Y Jelly 82g, topical 1 tube",K-Y Jelly,Crème,82g/tube,,
,,Labetalol Hydrochloride 100mg/2ml inj,Labetalol,Injection,100mg/2ml,,
,,Leucovorin 50mg inj,Leucovorin,Injection,50mg,,
,,Levocabastine Levoptha Eye gtt.,Levocabastine Levoptha,Gouttes pour les yeux,,,
,,"Levonorgestrel 0.03mg, 1 cycle(Microlut)",Levonorgestrel,Comprimé,0.03mg,,
,,Liposic gel,Liposic,Crème,,,
,,Lisinopril 20mg Tablets,Lisinopril,Comprimé,20mg,,
,,Loratadine 10mg tab,Loratadine,Comprimé,10mg,,
,,Loratadine Oral Susp 5mg/5ml,Loratadine,Suspension,5mg/5ml,,
,,Lorazepam 1mg (Ativan),Lorazepam,Comprimé,1mg,,
,,Losartan Potassium 50mg Tabs,Losartan,Comprimé,50mg,,
,,"Lugol solution 5%, 100ml",Lugol,Solution,5%/100ml,,
,,M Bismuth 500mg/15ml,M Bismuth,,500mg/15ml,,
,,M Expectorant,M Expectorant,,,,
,,M Mag Tris powder,M Mag tris,Poudre,,,
,,Mag Tri/Al Hyd tablet,Mag Tri/Al Hyd,Comprimé,,,
,,"Maxidrol Eye Drops, 3ml",Maxidrol,Gouttes pour les yeux,3ml,,
,,MAXIDROL POM OPHT T/3.5g,Maxidrol,Crème,3.5g,,
,,Meningitis Vaccine 1 dose,Meningitis Vaccine,,,,
,,Menthol 1.5% Cream,Menthol,Crème,1.5%,,
,,Metformin 1g Tablets,Metformin,Comprimé,1g,,
,,Metformin 500mg Tablets,Metformin,Comprimé,500mg,,
,,Methotrexate 1g Tabs,Methotrexate,Comprimé,1g,,
,,Methotrexate 500mg Tabs,Methotrexate,Comprimé,500mg,,
,,Methycelulose 1% Drops Ophth.,Methycelulose,Gouttes pour les yeux,1%,,
,,"Metronidazole 0.5% IV, 100ml",Metronidazole,Injection,0.5%/100ml,,
,,Metronidazole Dilu 200/250mg t,Metronidazole Dilu,Comprimé,200/250mg,,
,,Metronidazole Dilu 400/500mg t,Metronidazole Dilu,Comprimé,400/500mg,,
,,Miconizole Nitrate 10mg Tabs,Miconizole Nitrate,Comprimé,10mg,,
,,Miorel 4mg tablet,Miorel,Comprimé,4mg,,
,,Misoprostol 200mcg tablets,Misoprostol,Comprimé,200mcg,,
,,Mometasone Furoate 140 doses,Mometasone Furoate,Spray,140doses,,
,,Mouth Wash Colgate 100ml,Mouth Wash Colgate,Solution,100ml,,
,,Mydriaticum 0.5% 10ml,Mydriaticum,,0.5%/10ml,,
,,Naabak 4.9% 5ml drop,Naabak,Gouttes pour les yeux,4.9%/5ml,,
,,"NaCl 0.9% IV, 1000ml",NaCl,Injection,0.9%IV/1000ml,,
,,"NaCl 0.9% IV, 250ml",NaCl,Injection,0.9%IV/250ml,,
,,"NaCl 0.9% IV, 500ml",NaCl,Injection,0.9%IV/500ml,,
,,Naloxone 100microgram injection,Naloxone,Injection,100microgram,,
,,Natamycin 5% eye drops 3ml,Natamycin,Gouttes pour les yeux,5%/3ml,,
,,Natamycin eye Oint 1%,Natamycin,Crème,1%,,
,,Neo 0.5%/Hyd 1% Oint,Neo,Crème,0.5%/1%,,
,,Neo 1%/Hyd 1.5%,Neo,,1%/Hyd1.5%,,
,,Neo/Hydro Drops 0.5/1.5% Ophth,Neo/Hydro,Gouttes pour les yeux,0.5/1.5%,,
,,"Neo-codion (enf, nourisson), - codein+ sodium benzoate syrup",Neo-codion - codein + sodium benzoate,Oral solution,,,
,,Neostigmine Bromide 0.5mg/ml,Neostigmine,Comprimé,0.5mg,,
,,Nicardipine tablet 20mg Loxen,Nicardipine,Comprimé,20mg,,
,,Norethisterone 10mg tablet,Norethisterone,Comprimé,10mg,,
,,Nystatin 100 000 U pessery,Nystatin,Pessaire,100 000 U,,
,,Oral Rehydration Salt (Plain),Oral Rehydration Salt,,,,
,,Oral Rehydration Salt with Zinc,Oral Rehydration Salt with Zinc,,,,
,,Oxaliplatin 100mg injection,Oxaliplatin,Injection,100mg,,
,,Oxymetazoline Aturgyl 0.5 Otic,Oxymetazoline,Goutte otique,0.5%,,
,,"Paidoterin susp, 100ml",Paidoterin,Suspension,100ml,,
,,"Paracetamol 120 syrup, 100ml",Paracetamol,Oral solution,100ml,,
,,Paracetamol Supp 125mg,Paracetamol,Suppositoire,125mg,,
,,"Passedyl enf, Sulfagaiacol, Sodiume benzoate",Passedyl Sulfagaiacol,,,,
,,Penicillin V 250mg tablet,Penicillin V,Comprimé,250mg,,
,,Permethrin 5% Cream,Permethrin,Crème,5%,,
,,Phenylephrine 2.5% eye drop 5ml,Phenylephrine,Crème,2.5%,,
,,Phenytoin 100mg/2ml injection,Phenytoin,Crème,100mg/2ml,,

,,Pilocarpine Nitrate 0.5% Ophth,Pilocarpine Nitrate,,0.5%,,
,,Pilocarpine Nitrate 4% Ophth 5ml,Pilocarpine Nitrate,,4%/5ml,,
,,Pilocarpinehydrochl 2% eye,Pilocarpinehydrochl,Gouttes pour les yeux,2%,,
,,"Piperazine powder, 5ml",Piperazine,Poudre,5ml,,
,,Polyvidonelodi 0.5% 5ml Ophth,Polyvidonelodi,,0.5%/5ml,,
,,Potassium CL 600mg tablet,Potassium CL,Comprimé,600mg,,
,,Pred 1%/gent 0.3% eye drops 5ml,Pred,Gouttes pour les yeux,0.3%,,
,,"Pred Sod Phos eye drops, 1%, 5ml",Pred Sod phos,Gouttes pour les yeux,1%,,
,,"Primalan 30mg syrup, 60ml",Primalan,Oral solution,30mg/60ml,,
,,Pyrodistigmine 60mg,Pyrodistigmine,Comprimé,60mg,,
,,Rabies Antiserum 300 IU/2ml,Rabies Antiserum,Injection,300IU/2ml,,
,,Ramipril 5mg Tablet,Ramipril,Comprimé,5mg,,
,,Ranitidine 300mg f/c,Ranitidine,Comprimé,300mg,,
,,"Ranitidine, 50mg/2ml inj, vial",Ranitidine,Injection,50mg/2ml,,
,,Reserpine 0.25mg tablet,Reserpine,Comprimé,0.25mg,,
,,Risperidone 4mg tablets,Risperidone,Comprimé,4mg,,
,,"Salbutamol Steri-Neb, soln",Salbutamol Steri-Neb,Solution,,,
,,Secnidazole/Azithromycin/Fluconazole,Secnidazole/Azithromycin/Fluconazole,,,,
,,Sildenafil (Viagra) 50mg Tabs,Sildenafil,Comprimé,50mg,,
,,Silverdine 1% cream 50 g,Silverdine,Crème,1%/50g,,
,,Simvastatin 50mg Tablet,Simvastatin,Comprimé,50mg,,
,,Spasmo-apotel suppository,Spasmo-apotel,Suppositoire,,,
,,Spiralide 3 MIU,Spiralide,,3MIU,,
,,Sulfadoxine+Pyrimethamine 500,Sulfadoxine + Pyrimethamine,,500mg,,
,,"Sulphur Cream, topical",Sulphur,Crème,,,
,,Sumatriptan succinate 50mg,Sumatriptan,Comprimé,50mg,,
,,Sustanon (Testosterone) 250mg,Sustanon,Comprimé,250mg,,
,,Synriam (Arterolane/piperaquine 150/750 mg),Synriam,Comprimé,150/750mg,,
,,Tamoxifen 20mg tablets,Tamoxifen,Comprimé,20mg,,
,,"Terbinafine 1% Cream, 15g",Terbinafine,Crème,1%/15g,,
,,Terbinafine 250mg,Terbinafine,,250mg,,
,,Tetanus Antitox 1 500 U inj,Tetanus,Injection,1 500 U,,
,,Tetanus Toxoid Simgle dose Inj,Tetanus,Injection,Single dose,,
,,Tetracaine 1% drops 5ml Ophth,Tetracaine,Gouttes pour les yeux,1%/5ml,,
,,Tetracaine 5% drops 5ml Ophth,Tetracaine,Gouttes pour les yeux,5%/5ml,,
,,Timolol (Chauvin) 0.5%,Timolol Chauvin,Gouttes pour les yeux,0.5%,,
,,Timolol (Batoptic) 0.5% 5ml,Timolol Batoptic,Gouttes pour les yeux,0.5%/5ml,,
,,Timolol (Normoptic) 0.05% 5ml,Timolol Normoptic,Gouttes pour les yeux,0.05%/5ml,,
,,"Timolol 0.5% eye drop, 10ml",Timolol,Gouttes pour les yeux,5%/10ml,,
,,Tramadol 100mg inj,Tramadol,Injection,100mg,,
,,Tranexamic Acid 500mg/5 ml IV,Tranexamic Acid,Injection,500mg/5ml,,
,,Tranexamic Acid 500mg,Tranexamic Acid,Comprimé,500mg,,
,,"Tranexamic Acid500mg/5 ml,10 ml Oral",Tranexamic Acid,Solution,"500mg/5ml,10ml",,
,,Triamcinolone 0.1% cream,Triamcinolone,Crème,0.1%,,
,,Triamcinolone 40 IM/Loc Injecti,Triamcinolone,Injection,40IM/Loc,,
,,"Trifluridine 1% eye drops, 10ml",Trifluridine,Gouttes pour les yeux,1%/10ml,,
,,"Tropicamide 1% eye drops, 5ml",Tropicamide,Gouttes pour les yeux,1%/5ml,,
,,"Tropicamide/Phenylephrine eye drops 0.8%, 5ml",Tropicamide/Phenylephrine,Gouttes pour les yeux,0.8%/5ml,,
,,Ursodeoycholic Acid 250 mg Tabs,Ursodeoycholic,Comprimé,250mg,,
,,Valsatan 160 mg Tablets,Valsatan,Comprimé,160mg,,
,,"Vancomycin, 1g injection",Vancomycin,Injection,1g,,
,,Vildagliptin 50 mg Tablet,Vildagliptin,Comprimé,50mg,,
,,Vitamiin B compound 2ml inj,Vitamin B,Injection,2ml,,
,,"Vitamin B12,1000 mcg/1ml inj",Vitamin B12,Injection,1000mcg/1ml,,
,,"Vitamin C, 250mg",Vitamin C,Comprimé,250mg,,
,,"Vitamin C, 500mg",Vitamin C,Comprimé,500mg,,
,,"Vitamin D3, 1.25 mg tablet",Vitamin D3,Comprimé,125mg,,
,,Vitamin K3 1mg/1ml inj,Vitamin K3,Injection,1mg/1ml,,
,,Vogalene (metopimazine) suppository,Vogalene metopimazine,Suppositoire,,,
,,Whitfield Ointment,Whitfield,Crème,,,
,,Whitfield/Miconazole unit,Whitfield/Miconazole,Crème,,,
,,Xalatan 0.005% eye drop 2.5 ml,Xalatan,Gouttes pour les yeux,0.005%/2.5ml,,
,,Xola eye drops,Xola,Gouttes pour les yeux,,,
,,Xolamol eye drops,Xolamol,Gouttes pour les yeux,,,
,,Amoxicillin 250mg Dispersable Tablet,Amoxycillin,Comprimé,250mg,,
,,Amoxycillin 250mg tablets,Amoxycillin,Comprimé,250mg,,
,,Dacarbacine 200mg inj,Dacarbazine,Injection,200mg,,
,,"Dexametasone Sodium, 0.1% 5ml",Dexamethasone Sodium Phosphate,Gouttes pour les yeux,0.1%/5ml,,
,,"Dextrose 10% IV, 250ml",Glucose (Dextrose),Injection,10%/250ml,,
,,"Dextrose 5% IV, 1000ml",Glucose (Dextrose),Injection,5%/1000ml,,
,,"Dextrose 5% IV, 250ml",Glucose (Dextrose),Injection,5%/250ml,,
,,"Dextrose 5% IV, 500ml",Glucose (Dextrose),Injection,5%/500ml,,
,,"Dextrose 50% IV, 100ml",Glucose (Dextrose),Injection,50%/500ml,,
,,Nitroglycerin 5mg Tablets,Nitroglycerin Drug,Comprimé,5mg,,
,,Neomycin 0.5% Oint topical,Neomycin,Crème,0.5% Oint,,
,,Neomycin 2% Oint topical,Neomycin,Crème,,,
,,Neomycin eye drops 0.5% 5ml,Neomycin,Gouttes pour les yeux,0.5%,,
,,Diethylcarbamazine 50mg tab,Diethylcarbamazine,Comprimé,50mg,,
,,"Ethanol 95%, Denatured, 100ml",Ethanol Denatured Drug,,95%/100ml,,
,,"Heparin 1:25000 IU inj, 1via",Heparin,Injection,25000IU/ml,,
,,Hepatitis B Vaccin Paedia single dose,Hepatitis B Vaccin Drug,,Single dose,,
,,"Hepatitis B Vaccin, 1 vial Adu",Hepatitis B Vaccin Drug,,1 vial,,
,,Hydrocort 1% oint topical,Hydrocortisone,Crème,1%,,
,,Hydrocort 3% oint topical,Hydrocortisone,Crème,3%,,
,,Insulin NPH U-100 injection,Insulin,Injection,U-100,,
,,Ketoconazole 400 mg Tab,Ketoconazole,Comprimé,400mg,,
,,Paraffin Oral Liquid,Paraffin,Solution,,,
,,Penicillin Benz 2.4 Mil IU Inj,Benzathine Benzyl Penicillin,Injection,2.4 Mil IU,,
,,Progesterone 100mg caps,Progesterone Drug,Capsule,100mg,,
,,Progesterone 2 mg/ml Injection,Progesterone Drug,Injection,25mg/ml,,
,,Pyridoxine 50mg tablet,Pyridoxine (Vitamin B6),Comprimé,50mg,,
,,Salicylic Acid 10% Oin,Salicylic Acid,Crème,10%,,
,,Salicylic Acid 50% Oin,Salicylic Acid,Crème,50%,,
,,Suxamethonium Cl 100mg/2ml,Suxamethonium Hydrochloride,Injection,100mg/2ml,,
,,Zinc Oxide 7.5% Ointment,Zinc,Crème,7.5%,,
,,Sodium Chlor 5% eye drops 5ml,Sodium Chloride,Gouttes pour les yeux,5%/5ml,,
,,Sodium Chloride Mouth Wash,Sodium Chloride,Bain de bouche,,,
,,Sodium Bicarbonate powder,Sodium Bicarbonate Drug,Poudre,,,
,,"Anti-D-Rho Immunoglobulin, 300mcg 1 vial",Anti Rh D Immunoglobulin,,300mcg,,
,,Ergometrine 0.5mg tab,Ergometrine,Comprimé,0.5mg,,
,,10H Locking Compression Plates 4.5/5.0.Broad,10H Locking Compression Plates 4.5/5.0.Broad,Ampoule,,,
,,10H Locking Compression Plates 4.5/5.0.Narrow,10H Locking Compression Plates 4.5/5.0.Narrow,Ampoule,,,
,,11H Locking Compression Plates 4.5/5.0.Broad,11H Locking Compression Plates 4.5/5.0.Broad,Ampoule,,,
,,11H Locking Compression Plates 4.5/5.0.Narrow,11H Locking Compression Plates 4.5/5.0.Narrow,Pieces,,,
,,12H Locking Compression Plates 4.5/5.0.Broad,12H Locking Compression Plates 4.5/5.0.Broad,Boîte,,,
,,12H Locking Compression Plates 4.5/5.0.Narrow,12H Locking Compression Plates 4.5/5.0.Narrow,Ampoule,,,
,,13H Locking Compression Plates 4.5/5.0.Broad,13H Locking Compression Plates 4.5/5.0.Broad,Comprimé,,,
,,13H Locking Compression Plates 4.5/5.0.Narrow,13H Locking Compression Plates 4.5/5.0.Narrow,Ampoule,,,
,,14H Locking Compression Plates 4.5/5.0.Broad,14H Locking Compression Plates 4.5/5.0.Broad,Boîte,,,
,,14H Locking Compression Plates 4.5/5.0.Narrow,14H Locking Compression Plates 4.5/5.0.Narrow,Boîte,,,
,,"3+4H Locking Medial Proximal Tibia Plate 4.5/5.0,Left","3+4H Locking Medial Proximal Tibia Plate 4.5/5.0,Left",Flacon,,,
,,"3+5H Locking Medial Proximal Tibia Plate 4.5/5.0,Left","3+5H Locking Medial Proximal Tibia Plate 4.5/5.0,Left",Flacon,,,
,,"3+6H Locking Medial Proximal Tibia Plate 4.5/5.0,Left","3+6H Locking Medial Proximal Tibia Plate 4.5/5.0,Left",Boîte,,,
,,"3+7H Locking Medial Proximal Tibia Plate 4.5/5.0,Left","3+7H Locking Medial Proximal Tibia Plate 4.5/5.0,Left",Pieces,,,
,,5-Fluorouracil 250Mg (Cytoflu) Inj,5-Fluorouracil 250Mg (Cytoflu) Inj,Ampoule,250mg,,
,,5.0 Lcp Implantcase,5.0 Lcp Implantcase,Boîte,,,
,,"6H Locking Compression Plates 4.5/5.0,Broad","6H Locking Compression Plates 4.5/5.0,Broad",Ampoule,,,
,,"6Hlocking Compression Plates 4.5/5.0,Narrow","6Hlocking Compression Plates 4.5/5.0,Narrow",Ampoule,,,
,,"7H Locking Compression Plates 4.5/5.0,Broad","7H Locking Compression Plates 4.5/5.0,Broad",Boîte,,,
,,7H Locking Compression Plates 4.5/5.0.Narrow,7H Locking Compression Plates 4.5/5.0.Narrow,Pieces,,,
,,"8H Locking Compression Plates 4.5/5.0,Broad","8H Locking Compression Plates 4.5/5.0,Broad",Comprimé,,,
,,8H Locking Compression Plates 4.5/5.0.Narrow,8H Locking Compression Plates 4.5/5.0.Narrow,Boîte,,,
,,"9H Locking Compression Plates 4.5/5.0, Wide","9H Locking Compression Plates 4.5/5.0, Broad",Ampoule,,,
,,9H Locking Compression Plates 4.5/5.0.Narrow,9H Locking Compression Plates 4.5/5.0.Narrow,Boîte,,,
,,A-Cerumen Sol Auri Spray/40Ml,A-Cerumen Sol Auri Spray/40Ml,Ampoule,40ml,,
,,Lower Language B/100,Abaisse Langue B/100,Pieces,,,
,,Lower Room Language,Abaisse Langue Piece,Pieces,,,
,,Abx Basolyse Ii 1L,Abx Basolyse Ii 1L,Pieces,1l,,
,,Abx Cleaner 1L,Abx Cleaner 1L,Pieces,1l,,
,,Abx Diluent 20L,Abx Diluent 20L,Pieces,20l,,
,,Abx Eosinofix 1L,Abx Eosinofix 1L,Pieces,1l,,
,,Acarilbial 200Ml,Acarilbial 200Ml,Pieces,200ml,,
,,Acarilbial Sol Ext Fl/200Ml,Acarilbial Sol Ext Fl/200Ml,Comprimé,200ml,,
,,Accofil30 Mui 0.5 Ml Inj B/1,Accofil30 Mui 0.5 Ml Inj B/1,Pieces,0.5 ml,,
,,Accucheck Active Strip B/50,Accucheck Active Bandelette B/50,Pieces,,,
,,Accucheck Glucometer,Accucheck Glucometre,Pieces,,,
,,Accucheck Lancet B/200,Accucheck Lancette B/200,Pieces,,,
,,Acerumen B/10,Acerumen B/10,Pieces,,,
,,Acfol 5Mg Cp B/25,Acfol 5Mg Cp B/25,Pieces,5mg,,
,,Aciclovir 800Mg Cp B/10,Aciclovir 800Mg Cp B/10,Pieces,800mg,,
,,Aciclovir 800Mg Cp B/100,Aciclovir 800Mg Cp B/100,Pieces,800mg,,
,,Folinic Acid 15Mg Cp B/10,Acide Folinique 15Mg Cp B/10,Pieces,15mg,,
,,Lysine Salicylic Acid Amp Inj,Acide Salicylique De Lysine Amp Inj,Pieces,,,
,,Tranexamic Acid Aguet 100Mg/Ml 0.5G-5Ml Amp Inj,Acide Tranexamique Aguet 100Mg/Ml 0.5G-5Ml Amp Inj,Comprimé,100mg/ml 0.5g-5ml,,
,,Zoledronic Acid 4Mg/5Ml Perf B/1,Acide Zoledronique 4Mg/5Ml Perf B/1,Ampoule,4mg/5ml,,
,,Aciloc/Ml/Inj Amp/2Ml B/5,Aciloc/Ml/Inj Amp/2Ml B/5,Comprimé,2ml,,
,,Acinet 1.2G Inj B/1,"Acinet 1,2G Inj B/1",Pieces,1.2g,,
,,Aclasta 5 Mg/100Ml Perf B/1,Aclasta 5 Mg/100Ml Perf B/1,Comprimé,5 mg/100ml,,
,,Aclav 100/12.5Mg Sp Fl/60Ml,Aclav 100/12.5Mg Sp Fl/60Ml,Pieces,12.5mg/60ml,,
,,Aclav 1G Sachet B/12,Aclav 1G Sachet B/12,Pieces,1g,,
,,Aclav 500/62.5 Bags B/16,Aclav 500/62.5 Sachets B/16,Ampoule,,,
,,Aclin Gel T/15G,Aclin Gel T/15G,Ampoule,15g,,
,,Acofan 100Mg Cp B/30,Acofan 100Mg Cp B/30,Comprimé,100mg,,
,,Actapulgite 3G Sachet B/30,Actapulgite 3G Sachet B/30,Pieces,3g,,
,,Actapulgite 3G Scht B/1,Actapulgite 3G Scht B/1,Ampoule,3g,,
,,Acti 5 Amp Buv B/20,Acti 5 Amp Buv B/20,Pieces,,,
,,Actilyse Pdre Inj B/1,Actilyse Pdre Inj B/1,Comprimé,,,
,,Actimag Sp Fl/100Ml,Actimag Sp Fl/100Ml,Pieces,100ml,,
,,Actinac 100 Mg Cp B/10,Actinac 100 Mg Cp B/10,Pieces,100 mg,,
,,Actinac 100Mg Cp B/30,Actinac 100Mg Cp B/30,Pieces,100mg,,
,,Actinac 100Mg Cp B/30,Actinac 100Mg Cp B/30,Flacon,100mg,,
,,Actinac 100Mg Cr B/10,Actinac 100Mg Cr B/10,Pieces,100mg,,
,,Actinac Plus 100/500Mg Cp B20,Actinac Plus 100/500Mg Cp B20,Pieces,500mg,,
,,Actinac Plus 100/500Mg Cp Eff B/16,Actinac Plus 100/500Mg Cp Eff B/16,Pieces,500mg,,
,,Actinac Plus 100Mg/500Mg Cp B/,Actinac Plus 100Mg/500Mg Cp B/,Pieces,100mg/500mg,,
,,Actiskenan 10Mg Gel B/14,Actiskenan 10Mg Gel B/14,Comprimé,10mg,,
,,Actiskenan 10Mg Gel B/14,Actiskenan 10Mg Gel B/14,Ampoule,10mg,,
,,Actiskenan 20Mg Gel B/14,Actiskenan 20 Mg Gel B/14,Comprimé,20mg,,
,,Actiskenan 20Mg Gel B/14,Actiskenan 20Mg Gel B/14,Boîte,20mg,,
,,Actiskenan 20Mg Gel B/14,Actiskenan 20Mg Gel B/14,Ampoule,20mg,,
,,Actiskenan 30Mg Gel B/14,Actiskenan 30Mg Gel B/14,Comprimé,30mg,,
,,Actiskenan 30Mg Gel B/14,Actiskenan 30Mg Gel B/14,Ampoule,30mg,,
,,Actiskenan 30Mg Gel B/14,Actiskenan 30Mg Gel B/14,Comprimé,30mg,,
,,Actiskenan 5Mg Gel B/14,Actiskenan 5Mg Gel B/14,Boîte,5mg,,
,,Actiskenan 5Mg Gel B/14,Actiskenan 5Mg Gel B/14,Comprimé,5mg,,
,,Acupan Amp Inj B/1,Acupan Amp Inj B/1,Pieces,,,
,,Acupan Amp Inj B/5,Acupan Amp Inj B/5,Pieces,,,
,,Adiazine 500Mg Cp B/20,Adiazine 500Mg Cp B/20,Pieces,500mg,,
,,Adrenaline 0.1% Inj B/1,"Adrenaline 0,1% Inj B/1",Pieces,0.10%,,
,,Adrenaline 1Mg/1Ml Inj,Adrenaline 1Mg/1Ml Inj,Pieces,1mg/1ml,,
,,Advilmed 20Mg/Ml Susp Pedia F/200Ml,Advilmed 20Mg/Ml Susp Pedia F/200Ml,Comprimé,20mg/200ml,,
,,Aerius 5Mg Comp B/15,Aerius 5Mg Comp B/15,Comprimé,5mg,,
,,Aerius 5Mg Cp B/15,Aerius 5Mg Cp B/15,Pieces,5mg,,
,,Aerius 5Mg Cp B/7,Aerius 5Mg Cp B/7,Pieces,5mg,,
,,Aerius Sp F/60Ml,Aerius Sp F/60Ml,Pieces,60ml,,
,,Afridogrel 75Mg Gel B/30,Afridogrel 75Mg Gel B/30,Boîte,75mg,,
,,Afristat (Atorvastatin) 20Mg Gel B/30,Afristat(Atorvastatine) 20Mg Gel B/30,Ampoule,20mg,,
,,Afristat (Atorvastatin) 20Mg Gel B/30,Afristat(Atorvastatine) 20Mg Gel B/30,Ampoule,20mg,,
,,Auto Suture Stapler,Agrafeuse Auto Suture,Boîte,,,
,,Auto Suture Stapler,Agrafeuse Auto Suture,Ampoule,,,
,,Aietel 0.25 Cr T/30G,Aietel 0.25 Cr T/30G,Ampoule,30g,,
,,Aietel 0.25 Cr T/30G,Aietel 0.25 Cr T/30G,Ampoule,30g,,
,,Aietel 0.25 Cr T/30G,Aietel 0.25 Cr T/30G,Comprimé,30g,,
,,Lumbar Ponct Needle 19,Aiguille A Ponct Lombaire 19,Pieces,,,
,,Lumbar Punct Needle 22,Aiguille A Ponct Lombaire 22,Pieces,,,
,,Lumbar Punct Needle 24,Aiguille A Ponct Lombaire 24,Pieces,,,
,,Lumbar Punct Needle 25,Aiguille A Ponct Lombaire 25,Pieces,,,
,,Dental Needle,Aiguille Dentaire,Pieces,,,
,,Airtal 100Mg Cp B/40,Airtal 100Mg Cp B/40,Boîte,100mg,,
,,Airtal 100Mg Cpr Bt 40,Airtal 100Mg Cpr  Bt 40,Comprimé,100mg,,
,,Airtal Comp B/10,Airtal Comp B/10,Comprimé,,,
,,Akineton 4Mg Cp B/30,Akineton 4Mg Cp B/30,Pieces,4mg,,
,,Akineton Delay 4Mg Cpr Bt 30,Akineton Retard 4Mg Cpr Bt 30,Ampoule,4mg,,
,,Blue Sheet 80*60 Cm B/1,Alaise Bleu 80*60 Cm B/1,Pieces,,,
